6	6	6	6	6	6	6	6	
4	4	4	4	4	4	4	4	
16	16	16	16	16	16	16	16	
4	4	4	4	4	4	4	4	
4	4	4	4	4	4	4	4	
4	4	4	4	4	4	5	5	
5	5	5	5	5	5	5	6	
2	2	2	2	2	2	2	2	
2	2	2	2	2	2	2	2	
6	6	6	6	6	6	6	6	
2	2	2	2	2	2	2	3	
2	2	2	2	2	2	2	2	
9	8	8	8	8	8	12	11	
4	4	4	4	4	4	4	4	
4	4	4	4	4	4	4	4	
7	7	7	7	7	7	8	7	
5	5	5	5	5	5	5	5	
9	9	9	9	9	9	9	9	
7	7	7	7	7	7	7	7	
3	3	3	3	3	3	3	3	
1	1	1	1	1	1	1	1	
1	1	1	1	1	1	1	1	
1	1	1	1	1	1	1	1	
1	1	1	1	1	1	1	1	
1	1	1	1	1	1	1	1	
1	1	1	1	1	1	1	1	
4	4	4	4	4	4	4	5	
6	6	6	6	6	6	6	6	
1	1	1	1	1	1	1	1	
4	4	4	4	4	4	4	4	
2	2	2	2	2	2	5	4	
