G	GE	GRE	H
NP	NP	NP	NP	
NP	NP	NP	NP	
NP	NP	NP	NP	
NP	NP	NP	NP	
NP	NP	NP	NP	
NP	NP	NP	NP	
NP	NP	NP	NP	
NP	NP	NP	NP	
1	0	1	1	
1	1	1	1	
NP	NP	NP	NP	
NP	NP	NP	NP	
NP	NP	NP	NP	
NP	NP	NP	NP	
NP	NP	NP	NP	
NP	NP	NP	NP	
NP	NP	NP	NP	
NP	NP	NP	NP	
NP	NP	NP	NP	
NP	NP	NP	NP	
NP	NP	NP	NP	
NP	NP	NP	NP	
NP	NP	NP	NP	
NP	NP	NP	NP	
NP	NP	NP	NP	
NP	NP	NP	NP	
NP	NP	NP	NP	
NP	NP	NP	NP	
NP	NP	NP	NP	
NP	NP	NP	NP	
NP	NP	NP	NP	
NP	NP	NP	NP	
NP	NP	NP	NP	
NP	NP	NP	NP	
NP	NP	NP	NP	
NP	NP	NP	NP	
NP	NP	NP	NP	
NP	NP	NP	NP	
NP	NP	NP	NP	
NP	NP	NP	NP	
